prompt,prediction,feedback,correction
So I want to grasp this can.,grasp,yes,
So let's do the tights and grasp for the heavier can.,tight_grasp,yes,
So now I want to grasp a plastic cup which is,gentle_grasp,yes,
So I want to grasp a rubber.,gentle_grasp,yes,
I want to grasp a student card.,pinch_grasp,yes,
I want to grasp a can. Ensure it will not slip.,tight_grasp,yes,
I've already heard an egg and I don't want to squash it.,gentle_grasp,yes,
I've started a pinch grass bulb and a eraser and I don't want it to fall.,tighten,yes,
I've already done a pinch grasp of a pen and I want to put it back on.,open_hand,yes,
Sorry my hand hurt open the hand please.,open_hand,yes,
