prompt,prediction,feedback,correction
I want to pick this can.,grasp,no,gentle_grasp
I want to pick this can.,grasp,no,pinch_grasp
I want to hold this cup.,grasp,no,pinch_grasp
Can you help me pick this eraser up?,pinch_grasp,no,gentle_grasp
I want to hold this card.,gentle_grasp,yes,
I want to hold this can.,grasp,yes,
Do not crush this small whiley bowl.,gentle_grasp,yes,
I want to hold this eraser.,pinch_grasp,yes,
I want to release this pen.,open_hand,yes,
Please release my fingers.,open_hand,no,loosen
