prompt,prediction,feedback,correction
Grasp the open 10.,grasp,no,gentle_grasp
Grasp the tin.,grasp,yes,
Grasp the plastic cup with water inside.,grasp,no,gentle_grasp
Grasp the rubber.,grasp,no,pinch_grasp
Grasp the ID card.,grasp,no,pinch_grasp
I am holding a heavy can and it is slipping out of my hand tight in the grass.,tight_grasp,yes,
Losing my grasp on a ball.,loosen,yes,
Don't let this eraser slip out of my hands.,tighten,yes,
Open hand.,open_hand,yes,
Open my hand.,open_hand,yes,
